OBJECTID,rAERU19_08,rAERU19_13,rAERU19_18,AERU19_08,AERU19_13,AERU19_18,aAERU19_08,aAERU19_13,aAERU19_18,ePU19_10,ePU19_13,ePU19_18,TRACTNAME,PlanningRegion,ARCModelingArea,GEOID,GlobalID,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
51,5.67375887,4.11214953,7.80287474,16,11,19,3.2,2.2,3.8,564,535,487,"Census Tract 1506, Clarke County",Northeast Georgia,No,13059150600,{895B7ED3-A488-41FB-A804-05684A41CA33},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.0819664911227144,0.00034939722036886
52,24.94172494,21.36986301,10.99855282,107,78,76,21.4,15.6,15.2,858,730,1382,"Census Tract 302, Clarke County",Northeast Georgia,No,13059030200,{11BC122A-084A-4C4B-BA46-03981F0E65D8},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.0953124352134656,0.000439115532948176
53,3.82716049,6.82982356,5.84686775,31,60,63,6.2,12,12.6,1620,1757,2155,"Census Tract 9203.03, Bryan County",Coastal Regional Commission,No,13029920303,{F98F1F9D-5DDC-4B26-B055-F848E38FDD00},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.126869405716199,0.000884028991106171
54,4.98710232,7.84313726,6.73139159,29,54,52,5.8,10.8,10.4,1163,1377,1545,"Census Tract 9201.01, Bryan County",Coastal Regional Commission,No,13029920101,{DBEDAD17-9D3A-46A3-83E2-7FB8119D93E7},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.549428339546212,0.012438558275067
55,1.7727639,3.67118915,2.69133726,11,23,16,2.2,4.6,3.2,1241,1253,1189,"Census Tract 9203.05, Bryan County",Coastal Regional Commission,No,13029920305,{56E34E0D-47B9-47CC-B2A8-BBE84FE30F0D},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.351321891530893,0.00251596280340471
56,2.5862069,3.58744395,,9,12,,1.8,2.4,,696,669,562,"Census Tract 9203.01, Bryan County",Coastal Regional Commission,No,13029920301,{44D8F411-AB11-4380-A486-DAEA5DCA4E87},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.40752435504673,0.00645826935902836
57,3.11486048,3.6500944,1.81564246,48,58,39,9.6,11.6,7.8,3082,3178,4296,"Census Tract 9203.06, Bryan County",Coastal Regional Commission,No,13029920306,{CEA28A68-886E-4100-B4E7-6EE4CB461B59},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,1.01573363160399,0.0253154810047115
58,4.50331126,8.92236385,7.49553837,34,77,63,6.8,15.4,12.6,1510,1726,1681,"Census Tract 9201.02, Bryan County",Coastal Regional Commission,No,13029920102,{8B21FF71-CB06-4F58-80F6-747E9DF89A73},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,1.02388921863672,0.0224580294696237
59,,,,,,,,,,0,0,0,"Census Tract 9800, Bryan County",Coastal Regional Commission,No,13029980000,{022B8397-7EDA-4A52-A89D-1325BD4E6E11},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,1.36764696367441,0.0422793904780308
60,3.79661017,2.68370607,3.06859206,28,21,17,5.6,4.2,3.4,1475,1565,1108,"Census Tract 7901, Bleckley County",Heart of Georgia Altamaha,No,13023790100,{78127E94-A1EF-46B3-A0F9-C53F4FD0982F},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.807232679587888,0.0314363421497717
61,6.76506765,5.35714286,6.75203725,55,33,58,11,6.6,11.6,1626,1232,1718,"Census Tract 7903, Bleckley County",Heart of Georgia Altamaha,No,13023790300,{8FA10CB9-8B24-45E6-8774-FD380DD59A82},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.402750154174915,0.00816400712497518
62,10.12956419,9.55414013,9.26130099,43,45,42,8.6,9,8.4,849,942,907,"Census Tract 7902, Bleckley County",Heart of Georgia Altamaha,No,13023790200,{DF8A7AF3-334B-4AB0-8E28-89CBAC162C7C},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.539864182537078,0.0148195670075147
63,,,2.44498778,,,5,,,1,520,473,409,"Census Tract 9504, Appling County",Heart of Georgia Altamaha,No,13001950400,{7456AC7C-2530-4C58-84C2-F5D67660B07C},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,1.17979441948483,0.0370246904891621
64,3.19829424,1.61550888,4.04721754,15,10,24,3,2,4.8,938,1238,1186,"Census Tract 9505, Appling County",Heart of Georgia Altamaha,No,13001950500,{555D2772-AF21-4167-8D1E-58B275B2FFF5},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,1.19679652839274,0.0356994506507882
65,3.92982456,11.11111111,4.78755236,28,59,40,5.6,11.8,8,1425,1062,1671,"Census Tract 9503, Appling County",Heart of Georgia Altamaha,No,13001950300,{A01E3881-8C2A-4703-A980-3FC3DDA2CF81},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.455123221444107,0.00685100055953941
66,3.85505012,8.10457516,13.43570058,25,62,70,5,12.4,14,1297,1530,1042,"Census Tract 9502, Appling County",Heart of Georgia Altamaha,No,13001950200,{632C12C3-4EDD-453A-968A-BA0D3DFC19D3},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.710993054796136,0.0150325212319689
67,2.92326431,3.74609782,3.11377245,12,18,13,2.4,3.6,2.6,821,961,835,"Census Tract 9501, Appling County",Heart of Georgia Altamaha,No,13001950100,{3FAAE94F-0DA4-4AAF-BA05-D0E50B24D21A},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,1.26779132429681,0.0316772240570342
68,2.97482838,4.60526316,2.67085624,26,35,17,5.2,7,3.4,1748,1520,1273,"Census Tract 1402.07, Fayette County",Atlanta Regional Commission,Yes,13113140207,{B48DCE5C-2CF1-402F-8AB1-8B1525D34BF6},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.123965622248926,0.000790487297879496
69,6.35862654,7.21015977,4.24096386,75,88,44,15,17.6,8.8,2359,2441,2075,"Census Tract 1402.08, Fayette County",Atlanta Regional Commission,Yes,13113140208,{D703B40C-7D28-4D46-B71D-FFF56B371266},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.230328763943646,0.00168638871584448
70,4.84481453,4.62962963,1.8296974,32,30,13,6.4,6,2.6,1321,1296,1421,"Census Tract 1403.03, Fayette County",Atlanta Regional Commission,Yes,13113140303,{97F67F99-B4D3-4F39-B0AD-952CED746F69},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.220680576602036,0.00142397246500844
71,6.81388013,3.23119777,2.43362832,54,29,22,10.8,5.8,4.4,1585,1795,1808,"Census Tract 1403.04, Fayette County",Atlanta Regional Commission,Yes,13113140304,{7EF2687D-A6B9-4D7C-A791-AD4C28E46B4B},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.156796231209328,0.00135134021422114
72,2.91666667,2.5136612,1.63098879,28,23,16,5.6,4.6,3.2,1920,1830,1962,"Census Tract 1403.07, Fayette County",Atlanta Regional Commission,Yes,13113140307,{C336CF49-2E57-462B-975E-C9145AAC13FD},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.242802606897491,0.00168327635284577
73,4.36137072,5.97652081,6.18811881,21,28,25,4.2,5.6,5,963,937,808,"Census Tract 1404.08, Fayette County",Atlanta Regional Commission,Yes,13113140408,{3022E520-023C-4D94-A8E5-20BE3D81D6CE},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.20826806083413,0.00153917549345695
74,9.46915352,7.60206476,8.22722821,99,81,84,19.8,16.2,16.8,2091,2131,2042,"Census Tract 1404.07, Fayette County",Atlanta Regional Commission,Yes,13113140407,{99292C91-0421-4062-928B-190D53CECE0C},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.224912047192129,0.00216595904895153
75,3.68217054,3.43270099,5.08646999,19,19,25,3.8,3.8,5,1032,1107,983,"Census Tract 1404.05, Fayette County",Atlanta Regional Commission,Yes,13113140405,{B0220FAD-9B2D-4E5F-A4F0-CD61E35887EF},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.255672059439972,0.00198131875064959
76,7.5619296,6.67926906,9.455843,58,53,53,11.6,10.6,10.6,1534,1587,1121,"Census Tract 1404.04, Fayette County",Atlanta Regional Commission,Yes,13113140404,{119F4104-A341-4141-AADE-52F9AEC7FD96},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.171730393437554,0.00138109681893271
77,5.29100529,5.69037657,2.18855219,30,34,13,6,6.8,2.6,1134,1195,1188,"Census Tract 1402.06, Fayette County",Atlanta Regional Commission,Yes,13113140206,{AFEB67B4-0B51-4A01-A2E7-155F4716B2D5},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.215271123364611,0.00139445584679841
78,9.18298447,8.91632373,4.24778761,68,65,36,13.6,13,7.2,1481,1458,1695,"Census Tract 1402.03, Fayette County",Atlanta Regional Commission,Yes,13113140203,{A6C44D35-6461-44B1-A354-38036A03A93E},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.272990854963562,0.00261406060882115
79,7.06455542,6.32458234,5.71428571,58,53,48,11.6,10.6,9.6,1642,1676,1680,"Census Tract 1402.04, Fayette County",Atlanta Regional Commission,Yes,13113140204,{5A69C284-DA19-4587-8347-D6F7070AF4A4},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.335406191060568,0.00407143068875209
80,4.21511628,5.97014925,5.00329164,29,44,38,5.8,8.8,7.6,1376,1474,1519,"Census Tract 1403.05, Fayette County",Atlanta Regional Commission,Yes,13113140305,{3F72BB84-8F7A-4B82-813C-2A2ECFC1580E},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.225229237741308,0.00253694177383724
81,12.02185792,5.59254328,9.60130187,77,42,59,15.4,8.4,11.8,1281,1502,1229,"Census Tract 1404.03, Fayette County",Atlanta Regional Commission,Yes,13113140403,{330A39DB-B777-4677-A60C-32FE5E0D66AA},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.185816254359532,0.00154614091205644
82,11.30434783,11.89674523,10.1210121,52,53,46,10.4,10.6,9.2,920,891,909,"Census Tract 1404.06, Fayette County",Atlanta Regional Commission,Yes,13113140406,{0E560B76-1B2D-4CCD-8020-4DD0509AF289},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.199219041236602,0.00131470672347524
83,6.56788146,4.30510061,3.39680906,82,46,33,16.4,9.2,6.6,2497,2137,1943,"Census Tract 1403.06, Fayette County",Atlanta Regional Commission,Yes,13113140306,{28A59422-73DD-4B20-8901-84DCCD775E99},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.158752118416605,0.00129157014322043
